TIA,Albania,AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/,1,4.3068,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:Fuel Release - minimum 24 hours in advance 2) Operating Hours: OPS: 03:00 - 21:00 / Out of hours fuelling available - 24 Hours notice required 3) Ramps serviced:Can fuel on military apron 4) Additional Information: VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jan-19
435,United Kingdom,ROYAL AIR FORCE-A/DEFENCE BUSINESS SERVICES/,1,3.07543,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: MINIMUM OF 72 HOURS TO ARRANGE FUEL 2) Ramps serviced:N/A 3) Additional Information: MUST CARRY A COPY OF THE SO ONBOARD THE AIRCRAFT for more information please contact your local fuel logistics team on fuel24@wfscorp.com,01-Jul-19
ABZ,United Kingdom,GRAMPIAN AVIATION FUELING SERVICES LTD (GBP / M3)-A/WORLD FUEL SERVICES AVIATION LTD/,1,2.63242,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N/A 2) Ramps serviced:N/A 3) Additional Information: Can supply on Signature Ramp. Please be aware that VAT is based on a scale, Up to 2300 Litres 5%, 2300 Litres and above 20% for more information please contact your local fuel logistics team on fuel24@wfscorp.com",05-Aug-19
ABZ,United Kingdom,GRAMPIAN AVIATION FUELING SERVICES LTD (USD / USG)-A/WORLD FUEL SERVICES AVIATION LTD/,1,2.63626,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: Operating hours are Mon-Sun 0500-2300L 2) Ramps serviced:N/A 3) Additional Information: Can supply on Signature Ramp. No out of hours support unless it is a medical emergency Please be aware that VAT is based on a scale, Up to 2300 Litres 5%, 2300 Litres and above 20% for more information please contact your local fuel logistics team on fuel24@wfscorp.com",05-Aug-19
ABZ,United Kingdom,GRAMPIAN AVIATION FUELING SERVICES LTD (EUR / M3)-A/WORLD FUEL SERVICES AVIATION LTD/,1,2.63509,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N/A 2) Ramps serviced:N/A '3) Additional Information: Can supply on Signature Ramp. Please be aware that VAT is based on a scale, Up to 2300 Litres 5%, 2300 Litres and above 20% for more information please contact your local fuel logistics team on fuel24@wfscorp.com",05-Aug-19
ABZ,United Kingdom,SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT UK REGIONS LTD/,1,3.65096,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Additional Information: Service hours: Mon-Sat - 0620-2150 local. Sun - 0645-2150 local Hrs: 2150-2230 local - by prior arrangement only. Please be aware that VAT is based on a scale, Up to 2300 Litres 5%, 2300 Litres and above 20% // AJ08/08/17 ' for more information please contact your local fuel logistics team on fuel24@wfscorp.com",30-Jul-19
BFS,United Kingdom,GLOBAL TREK AVIATION-A/GLOBAL TREK AVIATION/,1,2.94421,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: As much notice as possible 2) Ramps serviced: 3) Additional Information: 24/7 Operation For more information please contact your local fuel logistics team on fuel24@wfscorp.com,29-Jul-19
BFS,United Kingdom,JET ASSIST LIMITED-A/JET ASSIST LTD/,1,2.68806,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",N/A,05-Aug-19
BFS,United Kingdom,NORTH AIR (GBP/M3)-A/WORLD FUEL SERVICES AVIATION LTD/,1,2.67894,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 2) Ramps serviced: Main Ramp (can fuel at other ramps within the airport by prior arrangement) 3) Additional Information: VAT applies on all flights within UK Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
BFS,United Kingdom,NORTH AIR (USD/USG)-A/WORLD FUEL SERVICES AVIATION LTD/,1,2.6902,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 2) Ramps serviced: Main Ramp (can fuel at other ramps within the airport by prior arrangement) 3) Additional Information: VAT applies on all flights within UK Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
BFS,United Kingdom,NORTH AIR (EUR/M3)-A/WORLD FUEL SERVICES AVIATION LTD/,1,2.68187,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 2) Ramps serviced: Main Ramp (can fuel at other ramps within the airport by prior arrangement) 3) Additional Information: VAT applies on all flights within UK Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
BFS,United Kingdom,WOODGATE AVIATION IOM LTD-A/WOODGATE AVIATION IOM LTD/,1,3.24795,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: As much notice as possible 2) Ramps serviced: Delta Ramp and Main Apron 3) Additional Information: VAT will apply to Domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com,16-Jul-19
BHD,United Kingdom,NORTH AIR-A/SHELL OIL PRODUCTS/,1,2.95801,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",for more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
BHX,United Kingdom,SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT UK REGIONS LTD/,1,3.2566,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operation hours: 0600/2200. If given notice we are available outside these hours 2) Minimum Notice Required: At least 4 to 6 hours notice 3) Additional Information: VAT is based on a scale, Up to 2300 Litres 5%, 2300 Litres and above 20% Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com",30-Jul-19
BHX,United Kingdom,XLR EXECUTIVE JET CENTRES LTD-A/XLR EXECUTIVE JET CENTRES LTD/,1,3.05452,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: Normal operating hours are 06:00L-22:00L. We can operate outside of these hours with request and prior notice of at least 4 hours 2) Ramps serviced: 3) Additional Information: There is a $25 USD/Flight fee in case of no uplift or uplifts below 1500 litres Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
BHX,United Kingdom,WORLD FUEL SERVICES (GBP/CM)-A/WORLD FUEL SERVICES AVIATION LTD/TRUCK,1,3.08116,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 24hrs operation, however, only 1 person on shift overnight so as much notice required as possible for adhoc orders, due to scheduled flights 2) Ramps serviced: All 3) Additional Information: Overwing fuelling is possible Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com",05-Aug-19
BHX,United Kingdom,WORLD FUEL SERVICES (USD/USG)-A/WORLD FUEL SERVICES AVIATION LTD/TRUCK,1,3.08579,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 24hrs operation, however, only 1 person on shift overnight so as much notice required as possible for adhoc orders, due to scheduled flights 2) Ramps serviced: All 3) Additional Information: Overwing fuelling is possible Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com",05-Aug-19
BHX,United Kingdom,WORLD FUEL SERVICES (EUR/M3)-A/WORLD FUEL SERVICES AVIATION LTD/,1,3.08442,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 24hrs operation, however, only 1 person on shift overnight so as much notice required as possible for adhoc orders, due to scheduled flights 2) Ramps serviced: All 3) Additional Information: Overwing fuelling is possible Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com",05-Aug-19
BOH,United Kingdom,WORLD FUEL SERVICES (EUR/M3)-A/WORLD FUEL SERVICES AVIATION LTD/,1,3.41698,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:24 hours 2) Ramps serviced:All 3) Additional Information: 4) Specific Notes: Do not have defuel capability at BOH Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
